"layout","climate","seed","width","height","openness","biome_scale","generation_ms","serialize_ms","deserialize_and_start_ms","retained_world_Lua_KiB","json_bytes","fingerprint","ruins","flora","fauna","features","crew","biomes","air_fraction","air_components","largest_air_fraction","water_cells","lava_cells","ice_cells","ore_cells"
"hybrid","balanced","1","128","80","0.48","1","247.345","16.591","19.57","783.5009765625","8762","04eef0db","2","9","5","living","3","12","0.45341796875","21","0.27568382511307","126","0","335","416"
"hybrid","balanced","7","128","80","0.48","1","238.739","15.889","18.217","783.732421875","8391","2fdb2c2e","2","9","5","living","3","12","0.44931640625","21","0.2782003912193","197","0","0","284"
"hybrid","balanced","12345","128","80","0.48","1","254.409","18.112","19.854","783.67578125","9332","5c3140dc","2","9","5","living","3","11","0.44287109375","22","0.28224917309813","76","0","173","544"
"noise","balanced","1","128","80","0.48","1","190.84","16.396","17.919","783.4375","8034","2c9ae8d9","2","9","5","living","3","12","0.38798828125","18","0.32217467908382","126","0","428","736"
"noise","balanced","7","128","80","0.48","1","171.25","14.867","22.493","783.6064453125","8064","1883ee0f","2","9","5","living","3","12","0.503125","16","0.24844720496894","197","0","25","229"
"noise","balanced","12345","128","80","0.48","1","182.627","14.955","16.667","783.6123046875","8254","6c49800c","2","9","5","living","3","11","0.430078125","17","0.29064486830154","76","0","177","762"
"cellular","balanced","1","128","80","0.48","1","111.478","16.15","18.548","783.5029296875","8597","5c7cee2b","2","9","5","living","3","12","0.451953125","19","0.27657735522904","126","0","375","556"
"cellular","balanced","7","128","80","0.48","1","119.995","26.963","19.325","783.609375","8855","74d51fbf","2","9","5","living","3","12","0.42900390625","26","0.29137263828819","197","0","85","320"
"cellular","balanced","12345","128","80","0.48","1","118.137","15.686","17.866","783.615234375","8839","0e98b0b7","2","9","5","living","3","11","0.47822265625","14","0.26138452113539","76","0","142","590"
"worms","balanced","1","128","80","0.48","1","118.871","15.225","16.496","783.4375","7950","4b936ed2","2","9","5","living","3","12","0.52578125","10","0.30070579494799","126","0","274","286"
"worms","balanced","7","128","80","0.48","1","110.108","15.179","18.294","783.6064453125","8256","1a003099","2","9","5","living","3","12","0.53740234375","13","0.23260039978194","197","0","96","252"
"worms","balanced","12345","128","80","0.48","1","109.164","14.387","16.717","783.6123046875","8101","0d75e976","2","9","5","living","3","11","0.5490234375","7","0.42778370686588","76","0","73","406"
"faults","balanced","1","128","80","0.48","1","131.559","15.911","16.353","783.5009765625","7953","23eab082","2","9","5","living","3","12","0.44267578125","19","0.28237370394882","126","0","347","596"
"faults","balanced","7","128","80","0.48","1","120.707","13.191","15.985","783.607421875","7567","38c46b15","2","9","5","living","3","12","0.49267578125","15","0.43587710604559","197","0","33","272"
"faults","balanced","12345","128","80","0.48","1","131.67","14.238","16.164","783.61328125","7733","2d4f94b5","2","9","5","living","3","11","0.4896484375","10","0.36697247706422","76","0","101","637"
"vaults","balanced","1","128","80","0.48","1","104.431","14.775","17.372","783.4384765625","7808","5eec340b","2","9","5","living","3","12","0.357421875","12","0.34972677595628","126","0","320","861"
"vaults","balanced","7","128","80","0.48","1","104.803","14.962","16.756","783.607421875","7928","709a26f1","2","9","5","living","3","12","0.32255859375","16","0.38752649106873","197","0","124","416"
"vaults","balanced","12345","128","80","0.48","1","123.855","14.578999999999","17.066","783.61328125","7943","39fd4281","2","9","5","living","3","11","0.37724609375","14","0.33134869272586","76","0","187","824"
"karst","balanced","1","128","80","0.48","1","109.272","19.426999999999","19.646","783.4375","8404","573f8340","2","9","5","living","3","12","0.48779296875","14","0.37497497497497","126","0","384","560"
"karst","balanced","7","128","80","0.48","1","113.368","15.927","18.012","783.6064453125","8668","2058fdcb","2","9","5","living","3","12","0.5029296875","16","0.24854368932039","197","0","124","285"
"karst","balanced","12345","128","80","0.48","1","112.376","15.781","19.75","783.6123046875","8795","08a0b261","2","9","5","living","3","11","0.48466796875","12","0.32822889381423","76","0","95","612"
"labyrinth","balanced","1","128","80","0.48","1","111.561","16.137000000001","24.931","783.50390625","8804","7d20708a","2","9","5","living","3","12","0.4958984375","22","0.25206774320599","126","0","302","504"
